=N(NEW SESSION Bluetooth Keyboards, Controle, Couteau Suisse)
type; label; id idee; temps 1er car; temps validation; id utilisateur; dist; alpha
ROOTELEM; iphone; 58; 1353530; 1354554; 3; 0.26935380807202725; -1.3858827816372115
ROOTELEM; design; 23; 394778; 398602; 4; 0.5066809879823462; 0.007518655312303883
ROOTELEM; mp3; 55; 1303430; 1306709; 1; 0.7196925521460622; -0.8791078547649391
ROOTELEM; anti moustique; 28; 531926; 644500; 1; 0.8838177339520137; -2.2186077537219955
ROOTELEM; telephone; 56; 1346142; 1347529; 3; 0.24530287519368274; -2.2366223484689636
ROOTELEM; feu de détresse; 51; 1209271; 1212931; 4; 0.2804725523250176; 2.3081545573445825
ROOTELEM; anti-venin; 53; 1217018; 1225006; 1; 0.6944548752051102; 1.761198993639444
ROOTELEM; enceintes; 54; 1292204; 1299942; 3; 0.3571316330684732; -2.08898574066363
ROOTELEM; laser; 0; 141087; 142333; 1; 0.26971051920964373; -3.049653994707572
ROOTELEM; sabre; 52; 1215444; 1216257; 2; 0.22147720919997918; -3.0727361642887487
ROOTELEM; projecteur; 50; 1197992; 1199716; 3; 0.6024831458581095; -2.1307361239092852
ROOTELEM; longue vu; 48; 1179855; 1185693; 1; 0.4596163242671868; 1.5210448847123834
ROOTELEM; television; 49; 1194554; 1196866; 3; 0.8046711698638005; -2.143698305423184
ROOTELEM; tactile; 46; 1144254; 1145803; 3; 0.5547698752748491; -1.6636321508785636
ROOTELEM; loupe; 47; 1170979; 1173190; 3; 0.6743529694734366; -2.274214312683495
ROOTELEM; l'heure; 42; 1044419; 1046057; 4; 0.5189803363993293; -1.9703869579193833
ROOTELEM; brosse à dents; 45; 1114367; 1117040; 3; 0.6060137025758993; -3.110156472233519
ROOTELEM; rasoir; 43; 1069517; 1071542; 1; 0.6954676724670328; -1.0299071224724292
ROOTELEM; tondeuse; 44; 1091966; 1093303; 3; 0.6918246274835435; -1.2803943842464554
ROOTELEM; capteur solaire; 41; 1027255; 1029342; 2; 0.7251641459343896; 0.951462871090209
ROOTELEM; dynamo; 14; 261500; 263135; 3; 0.8199242263535401; 0.9105681536887851
ROOTELEM; panneau solaire; 12; 239799; 242461; 3; 0.589929086018491; 0.7853981633974483
ROOTELEM; batterie; 11; 234274; 236111; 3; 0.7237543838646266; 0.6735078972257722
ROOTELEM; internet; 40; 1013879; 1015918; 1; 0.4464015864860177; -1.1205067018494184
ROOTELEM; autonome en energie; 39; 1002841; 1007652; 3; 0.643485407284233; 0.8419416003422657
ROOTELEM; caméra; 20; 361978; 364501; 4; 0.578586909453872; -0.8950271072988008
ROOTELEM; logo suisse; 22; 386626; 390950; 1; 0.6549307141696836; -0.06985698921733619
ROOTELEM; ultra sons; 38; 961940; 965151; 3; 0.7448861180060922; -2.2511282650740636
ROOTELEM; légé; 37; 627942; 922454; 4; 0.7374405698795723; 0.028416121693474607
ROOTELEM; pratique; 36; 915416; 916826; 3; 0.4191947793550735; -0.2152189842041068
ROOTELEM; tienne dans la poche; 27; 598867; 603128; 4; 0.555465933814233; 0.06519955149165402
ROOTELEM; rouge; 35; 900591; 901739; 1; 0.6037163815797573; 0.2978030374744346
ROOTELEM; oreiller; 32; 691965; 695502; 1; 0.6710846805926038; -2.9848432186923666
ROOTELEM; sonnerie quand on le perd; 26; 533404; 537253; 4; 0.5295786199793464; 1.5564088304059709
ROOTELEM; bio dégradable; 7; 181974; 188324; 1; 0.579310717171259; -3.0229472217960924
ROOTELEM; lame adaptative; 33; 722251; 725563; 3; 0.5224918491481985; -2.8948456457102285
ROOTELEM; eponge; 31; 681978; 685664; 1; 0.4062192252428682; 1.7166721402445
ROOTELEM; couteau rond; 24; 409726; 417237; 1; 0.3638693543422947; 2.263523881840796
ROOTELEM; briquet; 34; 751017; 757752; 2; 0.4838432684144967; -2.9634997153585956
ROOTELEM; capsule; 15; 261476; 265237; 1; 0.4023198037504442; -2.9414115856239045
ROOTELEM; Décaps; 29; 664687; 666240; 2; 0.5050637013324439; 2.563003997878196
ROOTELEM; inspecteur gadjet; 5; 162787; 171089; 1; 0.43026121897434355; 2.125641553720744
ROOTELEM; bluetooth; 4; 167323; 169785; 3; 0.4636246820489486; -2.0032041023654346
ROOTELEM; bousole; 17; 305475; 311600; 1; 0.7555784977175779; 1.918059685602506
ROOTELEM; Dictaphone; 9; 192951; 195551; 2; 0.3904761904761905; -1.5707963267948966
ROOTELEM; instrument de cuisine; 19; 341388; 346750; 1; 0.7315500891120297; 2.479864396926671
ROOTELEM; reconaissance vocale; 25; 426664; 431962; 1; 0.7900928502512478; -1.1405774684221095
ROOTELEM; tire bouchon; 18; 341062; 343199; 3; 0.5229083156500417; 2.2762618034431883
ROOTELEM; Affichage lcd; 3; 159863; 164513; 2; 0.7473878926845947; -1.9465701315729413
ROOTELEM; lampe torche; 10; 201838; 234399; 1; 0.6208764195431095; 1.853731435110075
ROOTELEM; Stylo; 13; 245988; 247362; 2; 0.6195485153010951; 2.194619778975901
ROOTELEM; clé usb; 1; 144540; 147627; 4; 0.49970512847028214; -1.7046073042694871
ROOTELEM; couteau; 2; 152973; 155102; 3; 0.8484746885159005; 2.1693838401183916
ROOTELEM; prise micro sd; 21; 382403; 386364; 4; 0.75253524638528; -1.5910467228134602
ROOTELEM; lime à ongle; 30; 670089; 673562; 3; 0.7333036481313944; 2.1696054260872066
ROOTELEM; wifi; 6; 177364; 180426; 4; 0.6273697026189362; -1.6620059665515834
ROOTELEM; gps; 16; 283140; 284276; 4; 0.5666341699280897; -1.4742736693590288
ROOTELEM; warproof; 8; 191027; 193389; 4; 0.49513610330305957; -1.3374878033656339
