=N(NEW SESSION Bluetooth Keyboards, Controle, Couteau Suisse)
type; label; id idee; temps 1er car; temps validation; id utilisateur; dist; alpha
ROOTELEM; capteur laser; 94; 1255041; 1260922; 3; 0.763064299153198; -2.1344236183133685
ROOTELEM; décapsuleur; 91; 1243739; 1246339; 4; 0.795746059608981; 2.469842356655746
ROOTELEM; tire-bouchon; 90; 1229900; 1234986; 2; 0.6825774814192083; 2.061902700474639
ROOTELEM; ricola; 89; 1231103; 1232976; 1; 0.47278784319311956; 2.04345270108612
ROOTELEM; gps; 25; 309794; 316355; 3; 0.4592965957992581; 2.6495803955291626
ROOTELEM; lampe torche; 87; 1207320; 1209565; 3; 0.6187046669070856; 2.1143837150955536
ROOTELEM; Service après vente; 85; 1192650; 1197513; 2; 0.5359019777022803; 1.5210154248588075
ROOTELEM; à vie; 88; 1209638; 1210937; 4; 0.7474534241778499; -1.5249101915859615
ROOTELEM; pas cher pour le coeur; 81; 1160716; 1166778; 3; 0.3718922624568619; -2.3272170963407834
ROOTELEM; garantie; 86; 1203639; 1205413; 4; 0.7625925467051521; -1.6132707659490837
ROOTELEM; sous-traitants; 83; 1181351; 1185465; 4; 0.6251392588619927; -1.3088200399355578
ROOTELEM; entreprises dédiées; 84; 1173315; 1187326; 1; 0.635885298916939; -1.4657625991038907
ROOTELEM; produit en masse; 82; 1168200; 1172700; 4; 0.7158585857131484; -2.8695063649181134
ROOTELEM; pas cher; 80; 1149900; 1151412; 4; 0.6927155803671855; -1.3938941219260315
ROOTELEM; garde manger; 77; 1101462; 1104249; 4; 0.7268332830265773; -0.5363745785106877
ROOTELEM; durable; 78; 1130253; 1132052; 3; 0.5010211794148249; 2.701750070774057
ROOTELEM; écologique; 79; 1138262; 1141098; 2; 0.1423483001259686; 1.786562523201939
ROOTELEM; couteau lib; 76; 1085989; 1087812; 1; 0.7485738519287081; -0.2863386329788078
ROOTELEM; téléportation; 75; 1071275; 1074424; 4; 0.6530695010813401; -0.21455634647242405
ROOTELEM; laver; 70; 1023152; 1024214; 3; 0.2788313805429909; 2.370686229257845
ROOTELEM; voiture; 73; 1044427; 1045676; 3; 0.2035957935850662; -2.6863130501012797
ROOTELEM; nourriture par wifi; 74; 1057974; 1061899; 4; 0.5748626968080343; -0.07295996564181273
ROOTELEM; chocolat; 64; 876737; 878384; 4; 0.516222104109244; 1.9766571050247652
ROOTELEM; éponge; 72; 1033052; 1034240; 3; 0.14193991255284824; -0.8709034570756531
ROOTELEM; sécurisé; 65; 882043; 888874; 1; 0.6389844550431945; -2.314025410615905
ROOTELEM; différentes versions; 71; 1022650; 1027023; 4; 0.24195109750500388; -1.4644124964573644
ROOTELEM; branché; 67; 932576; 934364; 3; 0.09194299722778797; -0.8734055369251887
ROOTELEM; amovible; 69; 986061; 989486; 4; 0.5870001101637846; -2.1603467355819177
ROOTELEM; filtrer l'air; 68; 948861; 952423; 4; 0.7522517569883914; -2.104323959616096
ROOTELEM; PC commune; 66; 917763; 920775; 3; 0.14961780485070844; -0.37814231532260134
ROOTELEM; horloge; 63; 873122; 875021; 2; 0.5800617685460733; 2.155155959208585
ROOTELEM; secret; 61; 863349; 864886; 3; 0.7923305844797617; -2.3867971781210637
ROOTELEM; discret; 62; 866864; 868674; 4; 0.8441706203612983; -2.28113576415796
ROOTELEM; clé usb; 0; 50540; 53134; 1; 0.74746798595169; 2.644889814299228
ROOTELEM; démilitarisé; 59; 837274; 840372; 1; 0.7340454180341714; -2.3543596298661758
ROOTELEM; neutre; 60; 852122; 853322; 4; 0.7861153377609665; -2.2807366586129945
ROOTELEM; reveil; 58; 819238; 820932; 2; 0.7219449668412352; 2.417798683820142
ROOTELEM; controlé; 55; 795347; 797348; 4; 0.3241678689448352; -1.5237721949521505
ROOTELEM; mémoire ; 56; 796549; 799062; 3; 0.4426635521568986; 2.456771407647193
ROOTELEM; controle par la pensé; 57; 806283; 814346; 2; 0.2633880077573493; -1.752590315742938
ROOTELEM; bras artificiel; 17; 217103; 224377; 4; 0.43881100947995405; -1.714534999943223
ROOTELEM;  télévision; 48; 674996; 680308; 1; 0.5071263196175715; 2.395277056178347
