=N(NEW SESSION Bluetooth Keyboards, Train d'idees, Couteau Suisse)
type; idee_generatrice; Numero; label de l'idee; temps 1er car; temps validation; id utilisateur; idtrain-ididee; predecesseur; label predec; dist; alpha; cx; cy; pos; predecs; suivants
LEAFELEM; _ANNEAU_CENTRAL; 69; Nourriture pour animaux; 473720; 479128; 2; 30-5; -; -; 0.2400184486851503; -1.548222657281233; 0; 17; 702.8442594245083,650.9775815102892; 701.9614994059793,594.9845396680238 702.4659337064996,626.9805635778232 ; 
LEAFELEM; _ANNEAU_CENTRAL; 70; Whiskas; 481379; 483303; 2; 30-8; 30-5;  Nourriture   pour animaux ; 0.33144547426334503; -1.5501070054255024; 0; 8; 703.5998686828008,698.9716332398112; 703.0964751226211,666.9755934880815 703.3486453506523,682.9736061814369 ; 699.1356403758442,744.9310957887335 703.7746052626104,730.9166629304528 703.8340108385022,714.9697461761093 
LEAFELEM; _ANNEAU_CENTRAL; 92; Toupie; 684148; 684952; 2; 47-5; -; -; 0.24677313937159956; 2.009548185872627; 0; 8; 644.9633749622895,407.71530084824735; 662.4785790422492,460.90569120243526 652.469884530146,430.5111845579214 ; 629.9505146221487,362.1234811420543 634.954769544445,377.32076486716625 639.9590563926747,392.5180380801284 
LEAFELEM; _ANNEAU_CENTRAL; 44; communications privée; 268555; 273943; 1; 21-5; -; -; 0.25374619347075533; 0.9326619623826456; 0; 17; 779.3569504187597,417.99917140662166; 753.260954053229,467.51661274764984 768.0506300329565,439.1394126670451 ; 805.3395176827986,378.88494322459013 794.9550174942864,390.2021499314707 787.0358816538042,404.00092199944487 
LEAFELEM; _ANNEAU_CENTRAL; 99; ventilateur; 782760; 787333; 3; 65-5; -; -; 0.2828782330180737; -2.9692368765768657; 0; 8; 553.6893454516547,550.4701977136909; 608.1429609742178,537.4010065940817 577.0266091739879,544.8691155009158 ; 507.01484862552434,561.672489698273 522.5730023538881,557.9383428780174 538.1311710039686,554.2042582186522 
LEAFELEM; _SUR-LA_TABLE; 48; arme de defense; 276593; 282279; 1; 23-5; -; -; 0.9916590527513799; 0.4580761395402392; 0; 8; 1166.9475455172199,294.7692067032653; 1193.0,281.0 1182.8888701459175,293.40020375130507 ; 1118.960465059462,295.72908106405686 1134.959373126484,295.5421568468605 1150.958281193506,295.3552326296642 
LEAFELEM;  arme de defense ; 123; detecteur mine metal; 1207937; 1214751; 1; 99-5; 23-2;  arme de defense ; 1.015219618206573; 0.6697505132172893; 0; 8; 1117.8519065080434,194.12473097706354; 1166.9475455172199,294.7692067032653 1152.9220269732878,266.01734627064474 1138.8965084293557,237.26548583802415 1131.8816411222515,222.88523421770395 1124.8667738151473,208.50498259738373 ; 
LEAFELEM; _SUR-LA_TABLE; 119; e-carnet de santé; 1113899; 1124105; 1; 56-5; -; -; 0.6862934178870759; -1.901966154691661; 0; 8; 582.847315383465,865.7260672320873; 612.2644017259839,878.3211071731429 597.5558587645579,872.0235867125263 ; 553.0,838.0 554.4566490221298,853.9335549588385 566.948270946634,863.931523837328 
LEAFELEM;  e-carnet de santé ; 121; e-mail; 1145546; 1148073; 4; 97-5; 56-2;  e-carnet de santé ; 0.5058410847943144; -2.091211107503277; 0; 8; 567.9496657627172,755.4090103985899; 582.847315383465,865.7260672320873 578.610389887076,834.3516449115706 574.3734643906872,802.977222591054 572.2321981813639,787.1211518602327 570.0909319720406,771.2650811294112 ; 
LEAFELEM;  e-carnet de santé ; 125; puce de localisation; 1238398; 1242931; 4; 97-8; 97-5;  e-mail ; 0.43687549853548985; -2.218983662501744; 0; 8; 561.5258671347472,707.8407982061258; 565.8083995533939,739.5529396677686 563.6671333440705,723.6968689369471 ; 
LEAFELEM; _SUR-LA_TABLE; 17; teleporteur; 52392; 55990; 1; 5-5; -; -; 0.3548508828195741; -2.3225787487995975; 0; 8; 572.7701769375933,661.0846706174538; 541.0,662.0 556.8315617454374,659.6844757180278 ; 
LEAFELEM;  teleporteur ; 54;  Cape d'invisibilité; 318728; 331513; 2; 26-5; 5-2;  teleporteur ; 0.4577481816685992; -2.0431324896803478; 0; 8; 590.6631181749103,739.0048808956337; 572.7701769375933,661.0846706174538 575.7040712955051,676.8117702854292 579.7740659211663,692.271698605698 583.3224829390507,707.8708125196249 586.9932551095259,723.4397746157152 ; 
