=N(NEW SESSION Bluetooth Keyboards, Train d'idees, Couteau Suisse)
type; idee_generatrice; Numero; label de l'idee; temps 1er car; temps validation; id utilisateur; idtrain-ididee; predecesseur; label predec; dist; alpha; cx; cy; pos; predecs; suivants
LEAFELEM; _ANNEAU_CENTRAL; 68; antivol; 716369; 721527; 1; 34-5; -; -; 0.2493812420254316; -1.0510895825090971; 0; 8; 765.0207852816409,638.6384306657325; 744.1107969518234,586.6888048648593 756.0520332302482,616.3773022357744 ; 
LEAFELEM; _ANNEAU_CENTRAL; 70; autodefense; 749968; 755105; 1; 34-8; 34-5;  antivol ; 0.33665673340289987; -1.0309476206980204; 0; 8; 790.8479188039314,676.6092829829388; 771.1636819871019,653.3897713201759 779.80559963349,666.2898081763408 ; 832.7796518375692,690.1415756222369 817.9290699395713,688.2714277859507 803.7737322851655,683.9255490720228 
LEAFELEM; _ANNEAU_CENTRAL; 99; robot??; 1059109; 1080521; 1; 40-5; -; -; 0.28125040483488833; 0.2481277122927943; 0; 8; 843.1343260583585,488.73713148206923; 790.2765787455537,507.231956406971 820.4810026096454,496.6634759562021 ; 888.4411076268507,472.8848274903363 873.3388087656454,478.1688192222094 858.2365542762094,483.4529378041191 
LEAFELEM;  robot?? ; 101; avec une personnalité; 1129121; 1132558; 2; 53-5; 40-2;  robot?? ; 0.44946081336678445; -0.2535076028167129; 0; 17; 928.4251097864708,584.1807389709703; 843.1343260583585,488.73713148206923 869.7876959731257,518.563258822051 896.4410658878928,548.3893861620328 907.1024138540855,560.3198370983453 917.7637618202781,572.2502880346578 ; 
LEAFELEM;  robot?? ; 102; humour; 1135096; 1138009; 2; 53-8; 53-5;  avec une   personnalité ; 0.5279752125701437; -0.34971305889241755; 0; 8; 960.4091536850489,619.9720917799077; 939.0864577526635,596.1111899072828 949.7478057188562,608.0416408435952 ; 
LEAFELEM; _ANNEAU_CENTRAL; 0; laser; 27300; 28840; 1; 0-5; -; -; 0.2828782330180737; 0.17235577701292712; 0; 8; 846.3106545483453,499.5298022863091; 791.8570390257822,512.5989934059183 822.9733908260121,505.13088449908423 ; 
LEAFELEM; _ANNEAU_CENTRAL; 1; mesages; 31810; 36802; 1; 0-8; 0-5;  laser ; 0.3741688418759798; 0.18778853094791612; 0; 8; 892.9851502956582,488.3275058084429; 861.8688289960314,495.79574178134783 877.4269976461119,492.06165712198265 ; 939.6592560006828,477.123585569478 924.1013186446324,480.8586329318861 908.5432678221481,484.5932082163941 
LEAFELEM;  mesages ; 8; gps; 70614; 71265; 1; 7-4; 0-5;  mesages ; 0.4602628358121951; -0.11635166375658557; 0; 8; 940.0042207053541,553.0515895378919; 892.9851502956582,488.3275058084429 911.7927784525028,514.2171392905402 921.1965925367866,527.1619560396574 930.6004066210704,540.1067727887747 ; 
LEAFELEM;  gps ; 26; Web; 170748; 172350; 4; 15-5; 7-4;  gps ; 0.5745618705919571; -0.31263374259039356; 0; 8; 987.0232911267726,617.7756732834781; 940.0042207053541,553.0515895378919 949.4080347896378,565.9964062870091 958.8118488739215,578.9412230361263 968.2156629582051,591.8860397852436 977.6194770424889,604.8308565343608 ; 
LEAFELEM;  Web ; 77; jeux vidéo; 833544; 840297; 1; 41-4; 15-5;  Web ; 0.5587435809516897; -0.5809250729786797; 0; 8; 945.2194541491631,685.98446460798; 987.0232911267726,617.7756732834781 970.3017563357288,645.0591898132789 961.9409889402068,658.7009480781792 953.580221544685,672.3427063430796 ; 
LEAFELEM;  Web ; 79; wifi; 845925; 848429; 3; 41-7; 41-4;  jeux vidéo ; 0.5689722079216665; -0.7422368632570482; 0; 8; 920.1371519625975,726.9097394026813; 936.8586867536412,699.6262228728805 928.4979193581194,713.2679811377809 ; 
LEAFELEM;  Web ; 86; musique; 925842; 929505; 3; 41-10; 41-7;  wifi ; 0.5932813201734347; -0.8940827622808865; 0; 8; 895.0548497760319,767.8350141973826; 911.7763845670756,740.5514976675818 903.4156171715538,754.1932559324822 ; 
LEAFELEM;  Web ; 96; sans effort; 1053607; 1056019; 3; 41-13; 41-10;  musique ; 0.6300432077985999; -1.031112096259747; 0; 8; 869.9725475894663,808.7602889920839; 886.69408238051,781.4767724622831 878.3333149849882,795.1185307271835 ; 
LEAFELEM;  sans effort ; 98; coupe seul; 1070919; 1074043; 3; 50-4; 41-13;  sans effort ; 0.6949266757493585; -1.1872397431002186; 0; 8; 836.5294780073789,863.3273220516857; 869.9725475894663,808.7602889920839 861.6117801939445,822.4020472569844 853.2510127984226,836.0438055218848 844.8902454029007,849.6855637867852 ; 
LEAFELEM;  coupe seul ; 100; et bien; 1084555; 1086442; 4; 51-5; 50-4;  coupe seul ; 0.7950973552050286; -1.3418741774943035; 0; 8; 794.7256410297696,931.5361133761878; 836.5294780073789,863.3273220516857 828.168710611857,876.9690803165861 819.8079432163352,890.6108385814865 811.4471758208133,904.252596846387 803.0864084252914,917.8943551112874 ; 
LEAFELEM;  gps ; 30; Urbain; 196573; 199413; 4; 15-8; 15-5;  Web ; 0.6506767082550756; -0.39549994854967085; 0; 8; 1015.2347333796237,656.61012353083; 996.4271052110563,630.7204900325954 1005.83091929534,643.6653067817127 ; 
