=N(NEW SESSION Bluetooth Keyboards, Controle, Couteau Suisse)
type; label; id idee; temps 1er car; temps validation; id utilisateur; dist; alpha
ROOTELEM; bouclier; 82; 1209844; 1211431; 2; 0.806164458275635; -2.774249184489062
ROOTELEM; INTERLATIC; 64; 911354; 920927; 3; 0.5747838004272215; -2.7253871637981044
ROOTELEM; ne pas tuer; 80; 1170331; 1172081; 2; 0.5397841174247686; 1.179805405956757
ROOTELEM; sonne; 79; 1158044; 1159956; 2; 0.39454327911266024; 1.2566792119157475
ROOTELEM; alarme; 78; 1147319; 1152056; 2; 0.4807326230611809; 1.1763099922121834
ROOTELEM; monte la garde; 77; 1136107; 1138680; 2; 0.5867223226537633; 1.2367260671689841
ROOTELEM; te protege quand tu dors; 76; 1105593; 1128168; 2; 0.6234859211542398; 1.2635375114637544
ROOTELEM; coupe pas la peau de l'homme; 75; 1095031; 1099930; 2; 0.7559409447953859; 1.3986055122719576
ROOTELEM; fait livrer les courses; 74; 1077381; 1081581; 2; 0.9562303159979608; -2.408333370606558
ROOTELEM; avertit quand c'est trop gra; 72; 1033131; 1038511; 2; 0.8435708573577089; -2.388132508228896
ROOTELEM; pourmanger équilibrer; 71; 1030715; 1036577; 4; 0.19784783085072122; -1.9870656246518381
ROOTELEM; commande les courses; 70; 1017368; 1022405; 2; 0.3818703226367003; -2.110360395280982
ROOTELEM; enregistre ce que tu mange; 69; 1010356; 1014143; 2; 0.31929627836648017; -2.195206676421537
ROOTELEM; retour dans le future; 68; 980380; 983630; 2; 0.6999708448738915; -2.3042182246234337
ROOTELEM; retour en arrière; 67; 959968; 966029; 2; 0.5506376431546947; -2.238514153804335
ROOTELEM; aller dans l'espace; 66; 927142; 930153; 2; 0.6663182763150609; -2.839730977217918
ROOTELEM; spatial; 65; 922705; 925904; 2; 0.48381546765656525; 2.1569678717951515
ROOTELEM; téléphone portable ; 62; 861248; 871614; 4; 0.3405051602726978; 2.910181678909655
ROOTELEM; 	 AUTO AFFUTANT; 63; 798113; 883912; 3; 0.5869170770464922; 2.958836404330415
ROOTELEM; clef usb; 59; 757448; 761610; 1; 0.17084556949707547; 2.6030851968782205
ROOTELEM; briquer; 49; 480424; 481536; 2; 0.6145034682340331; -1.2294404415410494
ROOTELEM;   AUTO ECLAIRANT; 60; 458497; 765037; 3; 0.5352685976734753; 2.1380713957925748
ROOTELEM; téléportable; 61; 767938; 771238; 2; 0.4442017477945851; -2.2863992299143394
ROOTELEM; tournevis; 58; 735788; 739299; 2; 0.6376629665873; 1.699597383190503
ROOTELEM; jumelles; 56; 705625; 707912; 2; 0.07604748486734145; 1.9559538331583708
ROOTELEM; loupe; 57; 714699; 715898; 1; 0.14877885398231244; 0.3257991152726704
ROOTELEM; PORTABLE; 22; 148683; 152056; 3; 0.6057622023574835; 2.485513591784226
ROOTELEM; dur; 10; 71731; 75593; 1; 0.49471400840624946; 0.744548965068584
ROOTELEM; ceramique ; 29; 229248; 231546; 2; 0.7190066213477802; -0.0503552735950068
ROOTELEM; mapple; 39; 335619; 337581; 4; 0.11278378166161876; 1.6553400823078948
ROOTELEM; lame; 55; 657972; 659534; 1; 0.706574246298915; 0.31237316516543656
ROOTELEM; ergonomique; 18; 120758; 123008; 2; 0.19988205138811285; 1.7046073042694874
ROOTELEM; crayon; 31; 267060; 269409; 2; 0.27825826923757896; 1.6050295231042775
ROOTELEM; cicatrise les blesures; 43; 405173; 415797; 2; 0.4119617356688953; 1.6216782964865188
ROOTELEM; coupe ongle; 33; 279822; 288084; 2; 0.500223986111401; 1.6393908302491713
ROOTELEM; porte clefs; 46; 439249; 444023; 2; 0.586261455607535; 1.642335273057534
ROOTELEM; aiguise tout seul; 28; 219298; 222283; 2; 0.8354351724925411; 0.052463229376644126
ROOTELEM; CARBONE; 12; 76591; 80734; 3; 0.8036763599919916; -0.06641050967024054
ROOTELEM; lame flexible; 30; 244710; 249646; 2; 0.7852148484820215; 0.2002499764553055
ROOTELEM; lazer; 47; 450799; 452273; 2; 0.6682891820454693; -1.8627991217645068
ROOTELEM; TITANE; 6; 50832; 56370; 3; 0.7354675191028689; 0.5204310476864826
ROOTELEM; horloge; 32; 283131; 285982; 4; 0.28726562960109475; 2.9480982443003922
ROOTELEM; robuste; 16; 109482; 111367; 1; 0.40871237440119446; 0.18277137396255447
ROOTELEM; LED; 45; 428049; 428835; 2; 0.7758205370244682; -1.8878885297944414
ROOTELEM; lampe; 44; 422045; 423206; 4; 0.8781448183502906; -1.9275360275299445
