=N(NEW SESSION Bluetooth Keyboards, Train d'idees, Couteau Suisse)
type; idee_generatrice; Numero; label de l'idee; temps 1er car; temps validation; id utilisateur; idtrain-ididee; predecesseur; label predec; dist; alpha; cx; cy; pos; predecs; suivants
LEAFELEM; _ANNEAU_CENTRAL; 86; clé usb; 1221121; 1223500; 4; 43-5; -; -; 0.24937777560668087; -1.0511946973541892; 0; 8; 765.007936208462,638.6436850096302; 744.1107969518234,586.6888048648593 756.0520332302482,616.3773022357744 ; 782.9191775989472,683.1766775807815 776.9489217601249,668.3322832121535 770.9784841328757,653.4879619341657 
LEAFELEM;  clé usb ; 87; ordinateur; 1247063; 1250701; 1; 62-5; 43-2;  clé usb ; 0.3903407888854052; -1.7001173933223344; 0; 8; 673.5721811058576,728.2176917723401; 765.007936208462,638.6436850096302 736.4342627395732,666.6355621223155 707.8605892706846,694.6274392350009 696.4311198824089,705.8241900807807 685.0016504941333,717.0209409265603 ; 
LEAFELEM;  clé usb ; 90; disque dur de trés petite taille; 1252523; 1272726; 1; 62-8; 62-5;  ordinateur ; 0.4656527867329025; -1.821784120348382; 0; 17; 639.2837729410305,761.8079443096793; 662.1427117175818,739.4144426181199 650.7132423293062,750.6111934638996 ; 
LEAFELEM;  disque dur de trés   petite taille ; 91;  capteur cardiaque; 1284840; 1292828; 4; 64-5; 62-8;  disque dur de trés   petite taille ; 0.6011894508143745; -1.9534998554427068; 0; 8; 582.136425999652,817.7916985385781; 639.2837729410305,761.8079443096793 627.8543035527548,773.0046951554591 616.4248341644791,784.2014460012389 604.9953647762034,795.3981968470187 593.5658953879278,806.5949476927983 ; 
LEAFELEM; _ANNEAU_CENTRAL; 93; toilette integré; 1294401; 1303851; 1; 49-5; -; -; 0.2844222600171924; 0.02036074248041569; 0; 8; 849.2907361914657,521.9599096542996; 793.312719557365,523.5288754455155 825.300158206488,522.6323439800418 ; 897.2718577032144,520.6138198907879 881.278161526666,521.0629048912194 865.2844521835689,521.5115252404534 
LEAFELEM;  toilette integré ; 97; PQ; 1332164; 1335377; 1; 67-5; 49-2;  toilette integré ; 0.4409010355529389; -0.5139527793524721; 0; 8; 901.5685869241897,638.7975162692928; 849.2907361914657,521.9599096542996 865.6275645444707,558.471661719314 881.9643928974756,594.9834137843286 888.4991242397136,609.58811461265 895.0338555819517,624.1928154409715 ; 
LEAFELEM; _ANNEAU_CENTRAL; 46; désaler l'eau; 674868; 680549; 4; 31-5; -; -; 0.2554320036508434; -0.8925160045102078; 0; 8; 784.1428354523894,629.4187555917807; 756.4347267610161,580.7539766175275 772.2679586402855,608.562406423205 ; 
LEAFELEM;  désaler l'eau ; 80; instrument de survit; 1121975; 1127738; 1; 56-5; 31-2;  désaler l'eau ; 0.3915699827037131; -1.543492896433289; 0; 8; 705.6121846177197,730.4976202135306; 784.1428354523894,629.4187555917807 759.6020070693685,661.0059007824563 735.0611786863477,692.5930459731318 725.2448473301383,705.2279040532648 715.428515973929,717.8627621333977 ; 
LEAFELEM; _ANNEAU_CENTRAL; 55; transformer l'énergie; 733617; 754086; 4; 31-8; 31-5;  désaler l'eau ; 0.34599174953457945; -0.9348169191863587; 0; 17; 807.8913008374282,671.132187044722; 792.059307133716,643.3230526173321 799.9755269973524,657.2274929566158 ; 831.6334293506486,712.8492209713077 823.7205260083514,698.942895636352 815.8063895493472,685.0372707335152 
LEAFELEM; _ANNEAU_CENTRAL; 23; mode de paiment; 309484; 340336; 4; 12-5; -; -; 0.24543960879971677; -1.9696223684648881; 0; 8; 649.9605547327003,643.7428723101063; 666.1029573506838,590.2202587854581 657.1236408238901,620.9346182075859 ; 627.4017773198001,684.5306240073243 635.132140612856,671.0691991352712 642.655367063514,657.4756007366644 
LEAFELEM;  mode de paiment ; 27;   carte d'identité; 382484; 399447; 4; 19-5; 12-2;  mode de paiment ; 0.3689121555285363; -2.4872182754128955; 0; 8; 546.3295825882245,642.8851645061695; 649.9605547327003,643.7428723101063 617.964494467138,644.2449952855877 594.0192021049378,644.2536623385643 578.0880125657136,644.027866794281 562.1899963647832,643.5741088521112 ; 
LEAFELEM;  carte d'identité ; 33; carte de crédit; 433670; 439183; 2; 22-4; 19-5;  carte d'identité ; 0.35396015209933607; -2.9532273293646942; 0; 8; 517.4579306954066,559.7971242014954; 546.3295825882245,642.8851645061695 535.642178613543,612.7226149408234 527.6781363401305,590.0837510752654 522.5186286230111,574.95420220518 ; 
LEAFELEM;  mode de paiment ; 31; porte feuille; 423549; 434361; 3; 19-8; 19-5;  carte d'identité ; 0.4401861911997093; -2.624779983374791; 0; 8; 499.0839648364359,639.1880775071536; 530.5247711550721,641.9204832647218 514.7771856702819,640.683583964063 ; 
LEAFELEM;  porte feuille ; 37; remplacer les cartes bancaires; 523985; 531459; 1; 26-5; 19-8;  porte feuille ; 0.6097068842874667; -2.8191642935315344; 0; 17; 396.3988421017787,626.4290849874793; 499.0839648364359,639.1880775071536 467.2282848755543,636.1523479029419 443.4585064229705,633.4513242646906 427.69905797309247,631.3630322413526 412.01373868539827,629.0180069274393 ; 
LEAFELEM; _ANNEAU_CENTRAL; 24; iphone du futur; 335148; 343397; 3; 9-5; -; -; 0.2842785401287934; 3.085874666798751; 0; 8; 550.9853735267114,516.6886023349958; 606.8210349458207,520.9756658711633 574.9149450168082,518.5258851785763 ; 503.12609691471744,513.0157832864688 519.0792312233324,514.2395050847476 535.0323153018574,515.4638848617207 
LEAFELEM;  iphone du futur ; 96; Disque Dur Externe; 1324263; 1329602; 2; 23-17; 23-14;  DDE ; 0.7604142804930581; 2.2426325771447173; 0; 8; 451.5173558233235,212.54042555781479; 461.4641575945013,242.9552432380984 456.4907567089124,227.74783439795658 ; 
LEAFELEM;  iphone du futur ; 34; pouvoir jouer avec; 459809; 470109; 1; 23-5; 9-2;  iphone du futur ; 0.436595806623304; 2.5386962701976246; 0; 8; 511.19816645039015,395.02933163951656; 550.9853735267114,516.6886023349958 538.5518713169341,478.67008024746895 526.1183691071569,440.651558159942 521.144968221568,425.4441493198002 516.171567335979,410.23674047965835 ; 
LEAFELEM;  pouvoir jouer avec ; 45; regarder des films; 633785; 646885; 1; 32-4; 23-5;  pouvoir jouer avec ; 0.5386084071783328; 2.400958869119977; 0; 8; 491.3045629080346,334.1996962789493; 511.19816645039015,395.02933163951656 506.22476556480126,379.82192279937476 501.2513646792124,364.61451395923297 496.2779637936235,349.4071051190911 ; 
LEAFELEM;  iphone du futur ; 88; vidéoprojecteur intégré; 1248977; 1256553; 2; 23-8; 23-5;  pouvoir jouer avec ; 0.5122907789964852; 2.4302167453162915; 0; 17; 496.2779637936235,349.4071051190911; 506.22476556480126,379.82192279937476 501.2513646792124,364.6145139592329 ; 
LEAFELEM;  iphone du futur ; 92; cadre photo numérique; 1294570; 1303100; 2; 23-11; 23-8;  vidéoprojecteur   intégré ; 0.5924408438616777; 2.350345200337231; 0; 17; 481.3577611368568,303.78487859866567; 491.3045629080346,334.1996962789493 486.3311620224457,318.99228743880747 ; 
LEAFELEM;  iphone du futur ; 94; DDE; 1305264; 1306776; 2; 23-14; 23-11;  cadre photo   numérique ; 0.6754619397517425; 2.2897955991850836; 0; 8; 466.43755848009016,258.1626520782402; 476.38436025126794,288.5774697585239 471.41095936567905,273.370060918382 ; 
LEAFELEM; _ANNEAU_CENTRAL; 26; fourchette; 385407; 391544; 2; 14-5; -; -; 0.27527079814049604; 2.7074737610977273; 0; 8; 568.8880993329616,464.2144618669967; 615.9672559890689,494.53846543801114 589.0688960267976,477.2041575100875 ; 
LEAFELEM; _ANNEAU_CENTRAL; 28; couteaux; 393580; 401233; 2; 14-8; 14-5;  fourchette ; 0.36606253560828667; 2.6749321724947706; 0; 8; 528.3661765569606,438.5357226584308; 555.4219615397121,455.5743498718053 541.9365948662271,446.9657510202501 ; 
LEAFELEM;  couteaux ; 82; tournevis; 1163513; 1169069; 1; 57-4; 14-5;  couteaux ; 0.4651923744593201; 2.363728332702367; 0; 8; 526.0100065682911,353.61207861529175; 528.3661765569606,438.5357226584308 533.367075552813,406.92890362782794 532.8008001826894,383.5283455250767 529.519688607483,368.54411925044127 ; 
LEAFELEM;  couteaux ; 83; briquet; 1169969; 1172285; 1; 57-7; 57-4;  tournevis ; 0.5425630959873436; 2.281753252119719; 0; 8; 514.12137564179,309.1617102726413; 522.2729457221069,338.7354804958756 518.3096585760727,323.91760976668434 ; 
LEAFELEM; _ANNEAU_CENTRAL; 30; ce qui ya déjà sur l'ancien; 402719; 412220; 2; 14-11; 14-8;  couteaux ; 0.4569406518324279; 2.662201781017917; 0; 17; 487.1479415250312,414.35165281751284; 514.7109444874029,430.28777939781736 500.97133137204764,422.22531446967486 ; 445.06090397233237,392.6502397219186 459.1883962539954,399.56877562585225 473.21884505935185,406.80104519093777 
LEAFELEM; _ANNEAU_CENTRAL; 40; un jet pack!; 588509; 594410; 2; 20-5; -; -; 0.24677313937159956; 2.009548185872627; 0; 8; 644.9633749622895,407.71530084824735; 662.4785790422492,460.90569120243526 652.469884530146,430.5111845579214 ; 629.9505146221487,362.1234811420543 634.954769544445,377.32076486716625 639.9590563926747,392.5180380801284 
LEAFELEM; _ANNEAU_CENTRAL; 70; TV; 1045949; 1046550; 2; 29-5; -; -; 0.24041270483271499; 1.6776437922522496; 0; 8; 686.5397141527877,399.50311358370465; 690.7233156456952,455.34662241386127 688.332710771627,423.4360440998275 ; 
LEAFELEM; _ANNEAU_CENTRAL; 71; internet; 1049186; 1051736; 2; 29-8; 29-5;  TV ; 0.33180729645803686; 1.6688191339621956; 0; 8; 682.9518733215945,351.6373916518791; 685.344267014318,383.54783527629587 684.1485266908194,367.5925789894883 ; 
